Address,City,Degree,Experience,Feedback,Fees,Name,Rating,Specialization
Center For Mind-Christudas Orthopaedic Speciality Hospital(COSH),Chennai,"MBBS, Diploma in Psychiatry",12,Doctor Treatment was good,500,Dr. S.Thiru Vikraman,,Psychiatrist
Rakshana Laser Eye Care,Chennai,"MBBS, MS - Ophthalmology",24,"I have known Dr.Palaniraj for nearly 20 years now. To my mind,, ,I consulted him for treating my squinted eyes.,Very rare to see such a patient friendly Doctor,,As my answer for the question no 3 says, everything was so great over the hospital even from the receptionist and others everyone was sweet and handled the patients very gently.  The explanation that the doctor gave to me for my problem astonished me and I felt very happy while leaving from the hospital. ",250,Dr. Palaniraj A,5.0,Ophthalmologist
Wisdom Dental Care,Chennai,BDS,12,"The dentists chair has often been described as a traumatizing place to end up in, this clinic is a departure from that definition. ,I was impressed by the professionalism of the doctor. I had reached slightly earlier than the doctor and she was very kind and polite in swiftly apologizing for the minor delay. Dr. S. Santhiya listened carefully and patiently to my issue and then explained the various possible causes and the risk associated with my condition. She then laid out treatment options available to me and what impressed me here was her sincerity in letting me choose the treatment option. She is very frank in her assessment and takes into account patient's sensitivities and choices. I highly recommend Dr. S. Santhiya as a family dentist. Thank you very much.,Doctor explained about teeth conditions and prescribed required medicine and remedial measures for receding gums.,A very gentle doctor who explained the reason for problem, treatment to be undertaken. Very less discomfort. A very clean and good ambience in hospital. Doesn't make patient wait. In short, a very nice and satisfied  experience.",150,Dr. S Santhiya,5.0,Dentist
Prime Care Speciality Clinic,Chennai,"MD - Obstetrics & Gynaecology, MBBS",10,"she is very friendly..she  explained me about the conditions clearly..very satisfied with her treatment..I recommend her,I found doctor to be a very compassionate human and completely non - judgemental in her approach when it comes to dealing with her patients which completely makes one up  his or her concerns at ease.  I really loved the way she explains things with a smile on her face and tailor-make the treatment plan by factoring in important aspects such as the age of the patient, other health complications , dosage of the drug etc., The time spent with her was totally worth it and I highly recommend her for any gyanaecological concerns.,I did my first IUI at A4 hospital which was done by Dr. Nithya. It's success. Thank you doctor.,I will recommend this hospital for delivery ",350,Dr. Nithya Shyam,5.0,Gynecologist/obstetrician
Billroth Hospitals,Chennai,"MBBS, Diploma in Radio Therapy, MD - Radiotherapy",20,"One word to describe... We met the doctor!!! ,The experience with Dr. Saritha was really good. In my 52 years of life, I haven't seen any doctor who gives such a detailed description of the problem which he/she has or can occur after results or reports. She is very frank to each & every person starting from staff to patient. Also, she gives right & proper guidelines & advice to patients.,I have consulted with Dr.Saritha for my sister treatment. She is really good and the way she explain about report is very nice and such a polite manner. I have consulted with many doctors but she is 100% best according to me. Initially we were consulted with other Dr. n we were unhappy about that consultation. ,very kind doctor...., understands patients pain and provides extra care like mother....  very affordable consultation fees... ",400,Dr. Saritha Damodaran,4.5,Oncologist
Family Health Care Clinic,Chennai,"MBBS, MS - General Surgery",28,it was really good. there was lots of improvement. my son akash has learn to calm down a lot. thanks for the entire team of doctors,150,Dr. G. Banumathy Giridharan,,General Surgeon
Aakash Dental Clinic,Chennai,BDS,14,"Dr. Anbarasu is an outstanding doctor and did an excellent job on my mothers root canal and bridge. He always made sure that my mother was comfortable. He is very patient, calming, and takes time to explain things so i can understand whats occurring. And he also has a great sense of humour. I would highly recommend Dr. Anbarasu and Aakash Dental Clinic to anyone in need of dental work.Thank you for the quality of your care and for your service. I appreciate it..!,HAD UNDERGONE A FILLING AND CAPPING OF TOOTH FOR MY DAUGHTER ",200,Dr. Anbarasu,5.0,Dentist
"Kiddicare Clinic, Baby And Children's Clinic",Chennai,"MBBS, Member of the Royal College of Paediatrics and Child Health (MRCPCH, London, Glasgow or Edinburgh)",16,"We approached doctor for our baby vaccination. She clearly explained about vaccine and y it has been preferred. Also with patientence she answered some of our queries about our baby health and skin allergy. Surely I'll recommend. ,One of the youngest and finest,  she was so friendly and caring and took time to examine the problem and listening. The place is so tidy and interior is so filled with stickers and objects for kids. I would strongly recommend for others",300,Dr. Sellammai Sambantham,,Pediatrician
Dr. S Premkumar Clinic,Chennai,"M.D. (Psychiatry), DNB - Psychiatry, MBBS",8,"At the outset I would like to Congratulate the Doctor for shown the extraordinary Professionalism. It is not an exaggeration, half of the problem was solved instantaneously just by discussion. I wish all the school, college and everyone who require medical attention & peace of mind must visit the Doctor for getting appropriate treatment. Wishing the Doctor all the very Best.  With Kind Regards, Venkat.,Dr is really good.. She listens our problem very well and provides solutions to it and she is more friendly too that itslef resolve half of the problem .. Approachable at any time.. Cares patient well.. Saw many psychiatrist in past all gave tablet alone.. but this doctor gave some very useful instructions and little of medicines and now feeling lot better now.. ,Happy and Lucky to meet Dr. Ramya  3 months back for my wife Health Issues. Much progress in my wife Health condition now. Following Doctor advice very strictly for better Health .  My sincere advice to meet this Doctor once if needed.  You will feel  Good Health Progress .... I am writing this feedback after 3 months my consultancy. ,good friendly doctor.Ramya Sampath and excellent care",500,Dr. Ramya Sampath,,Psychiatrist
Samara Vision Centre,Chennai,"MBBS, MS - Ophthalmology",15,"The doctor was thorough, very good at his profession and has a friendly manner. He diagnosed my eye condition, explained it well and put into place a treatment plan.,When I was coming to visit Dr.Aravind P.M i was very worried what kind of  treatment I was supposed to do it is very scary for me to think about operation but after to met Dr. All those doubts is cleared and I feel better it is nothing to worry it take just while only.,Excellent advice,  proper evaluation  more friendly explanations. Further advice and referring to other doctors is also extremely dealt.,after consulting more than 3 dictors visited Dr aravind from Samara vision ,my kid 2 yrs old got eyelid swelling he explains about d condition and treatment and we r very satisfied with consultation.  friendly and supporting profession.thank u sir.",300,Dr. Aravind P. M.,5.0,Ophthalmologist
Bethesda Homoeo Clinic,Chennai,BHMS,11,Satisfactory treatment. Recommended to all.Took treatment for allergy.good improvement in quick time.,200,Dr. P. Livingston,,Homoeopath
Prime ortho & Shoulder Care,Chennai,"MBBS, MD - Obstetrics & Gynaecology, MRCOG(UK)",16,"Very good in explaining the symptoms and post care of the issue. Clear in the way of diagnosis with not eliminating the root causes. ,Highly recommend  Dr. Bobby.She explained things very well and made me very comfortable and at ease.  ,Very good gynaecologist in omr. She listens patiently and provides diagnosis. You feel safe with her treatment. Friendly and smiling doctor!,Came to know about Dr bobby by browsing. Her gold medalist, experience in gynaecology studies,specialist in PCOD made me to get appointment with Dr bobby. Around 6 years suffered with PCOD issue without knowing anything, just simply taking medicines temporarily to arrest.The first day of consultation with DR  made me to learn a lot about health conditions of mine, what is happening inside,what is the root cause of the problem. She listened completely about the issues, concerns and treatment so far, she noted down for her reference. Then she started explaining about the root cause, where does the real problem occured. The way she explains made me to understood in biological way. Her friendliness,Care,improving patient confidence, getting out of fear from the issue by giving motivational words,advice to take care of helath by regular excercise,diet,stress removel rather than giving medicines for permanent solution. she gave medicines for short period of time to control the current issue. i strongly recommend to consult  her for all gynaecology realted problems.",600,Dr. Bobby M,5.0,Gynecologist/obstetrician
VS Hospitals - Centre for Advanced Surgeries and Tertiary Care,Chennai,"MBBS, MS - General Surgery, Diploma in Urology",25,"Consulting fees is very very high. Even though he is specialist middle class can not afford 550 rs for consulting.,MKV SIR AS TREATMENT WELL AND FRIENDLY .FIRST OPINION AS BEST OPINION BY MKV SIR THANK YOU REGARDS....,Cosulted the doctor for uti. ,with only the lab test and radiology which are essentially needed. I am ok in a a day.",500,Dr. A.Muthukumaravel,5.0,Laparoscopic Surgeon
SIMS Hospital,Chennai,"MBBS, DGO",38,"I'm vethavalli. I thank God for making me to meet such blessed humanity. I ensure that she will make me success in my treatment. Thank you ,She is a wonderful doctor, I confidently recommend,  she simplified my concerns and told me nothing to worry at all. We rarely we find such docs who treat without any medicines,  she took time to explain on diet and advised me on life style. I'm blessed to have met her. Thank you dr. You are a wonderful human being,I consulted sivagami gopinath for my pregnancy. My experience with her is really bad., doesn't care for her patient. I was admitted after getting labour pain, everything was taken care by the assistant doctors only and she just came and said everything is fine and it ll normal delivery and left. She was hardly there for two minutes and left. ,She didnt attend my case, I was operated by other doctors. I stayed in the hospital for four days,she didnt come and check me and baby.,doesn't care for patientS. Bad experience,I had a smooth pregnancy without any complications. The doctor is initially friendly but I was made to take a lot of scans ,I was asked to take scans outside of SIMS too. I was told baby's stomach needs to be viewed better, so that any complications can be treated while the baby is in the womb, but speaking to the radiologist at the external scan clinic, I was told everything is ok and even if there is a problem we have to wait until the baby is born to do anything about it. On my 39th week checkup I was suddenly told baby's head is too big and I have to undergo c section.,So overall I underwent, c section operation which is a major surgery and I was made to run around and take multiple scans ",800,Dr. Sivakami Gopinath,4.5,Gynecologist/obstetrician
Adarsh Dental Clinic,Chennai,"BDS, MDS - Prosthodontics",18,"He takes care of us till our issue is resolved. Very neat and clean decorum is maintained. His assistants are very understanding. ,Took very good care of my son and extraction done smoothly.  Very friendly and humble gentleman, with smiles. Thank you..!! ,The visit was very pleasant...Ambience was soothing...This was my first major dental procedure in life and I had great amount of fear but the doctor was so understanding and polite that I went through the procedure comfortably...Thanks to the Team at Adarsh,Dr. Vinamra Dhariwal is so nice, charming, very professional and gentle. He will make you feel comfortable and relax and his staffs are friendly and approachable too and the clinic is very stunning and clean.",300,Dr. Vinamra Dhariwal,4.5,Dentist
Mindwellness Clinic,Chennai,"MBBS, M.D. (Psychiatry), DNB - Psychiatry",15," Heard my problem in details with patience. Since I am a foreigner, there was a little challenge understanding my old prescription and medicines. But managed this issue  successfully.,Dr Janaki is absolutely amazing! I strongly recommend her for anxiety, depression and OCD related issues. I took my mom to her for treatment for extreme anxiety and OCD. My mom's condition was so bad that she was afraid of even getting out of the house. Dr Janaki started her on minimum required medication and my mom immediately started getting better.,got my mom off even the minimum dosage once she got better. My mom is completely cured now. It feels comforting to know that there is a reliable doctor for these strange ailments. Thank you so much!!,Doctor is a very patient listener. She gave me clear explanations  about my problem and its solution. I feel so relieved now.  ,I'm very satisfied with the doctor's treatment. She is friendly and approachable. I'm undergoing treatment for my chronic anxiety disorder and I find the sessions highly helpful in coping with my situation. ",1500,Dr. Janaki Rajagopalan,5.0,Psychiatrist
Sundar Eye Hospital,Chennai,"MBBS, MS - Ophthalmology",20,"Dr Padmaja is a wonderful Doctor. I visited for infection in the lower eye lid, she listened patiently and catefully to all my issues and suggedted that it has to be cleaned/treated with injection and distilled water.  She suggested antibiotic and asked me to return the next week. When i went she found that the infection is not cured and referred me to a oculoplastic surgeon for further treatment, She also ensure that the fees which they collected on second day was returned back to me as she didnt prescribe anything on 2nd day. We still have such Doctors with humanity!!!....i am so thankfull to Dr. Padmaja,The Dr was patient to hear my problem and made thorough diagnosis. I am fully satisfied with the treatment,More than a Doctor, she is a good human being. She takes utmost care that the patient is comfortable with her. Listens to all the problems patiently, very clearly explains what is her plan of action, and gives a positive feeling of the whole process. She is dedicated to her job very much. I'm really grateful to God to have led me to her for my treatment. Now I'm really happy with the eye surgery done by her in every way. ,It was well planned/treated on the cataract Operation (Well explained), starting from the Initial level of diagnosis till the operation gets over.",500,Dr. Padmaja Jagadeesan,5.0,Ophthalmologist
Dr. Anil Chandra Eye Clinic,Chennai,"MBBS, MS - Ophthalmology",23,"very friendly,patient,highly experienced,few years ago when my aged mother was informed by few other doctors that her eye problem cannot be rectified,dr anil did a fantastic cataract surgery on her and restored her vision completely.,Over all ,It's a  great experience, I would like to go here once  again and would recommend you all...,Good experience. Doctor explained the problem clearly. Staff was friendly. It was good experience...",300,Dr. Anil Chandra,,Ophthalmologist
"Magna Clinics for Obesity, Diabetes & Endocrinology",Chennai,"BPTh/BPT, MPT - Orthopedic Physiotherapy, Diploma in Naturopathy & Yogic Science (DNYS)",10,"Great and friendly manner. He explained very clearly and will suggest to everyone for best physiotherapy treatment. ,Very good consultation. ,Good in experience............. He clear all my doubts regarding the foot care... He give more information about the therapy...,His treatment was good and was gentle in treating the patients. He guides the patient in way that ease their pain and he is very ",300,Dr. Senthilkumar,5.0,Physiotherapist
Sri Sai Balaji Child Health Clinic,Chennai,"MBBS, Diploma in Child Health (DCH), MD - Pediatrics",42,"Was visiting a famous pediatrician before getting to know about Dr. Kannan. Thoroughly satisfied. Very patient and clear diagonosis. No unnecessarry medicines/ antibiotics are given. Though the place might not give that impression the doctor is definitely gud. ,He knows how to make the baby comfortable.He has a positive approach so even when we are tensed he makes you feel relaxed. He is available for queries on WhatsApp and phone too.He is really good and I'm happy to have him as my baby's doctor.,While seeing him evrythg ll ooze out... I ll defintely recommend him for others too... He s very friendly n clarify all my doubts... ,Just felt like our own doctor with disarming smile , Highly recommended .",150,Dr. N. Kannan,,Pediatrician
Relieve Pain Clinic,Chennai,"MD - Anaesthesiology, MBBS",13,"I visited Dr Nafisa Taha  with severe back and knee pain, after my complete diagnosis , she suggested me for transforminal epidural injection in my back, after the injecion I am 100 % painless, and it has helped me in my life style change .Her aim was that I get active and shed a few kilos . I have started with my physical activity and also stay up active the whole day. Previously​ this was impossible for me and to do a small chore , to walk or to sit up for a while was so painfull but now I am experiencing a painless   life. ,She took out time to hear all my problems and addressed each one with great concern. Thanks to her I am able to live a quality life now under her treatment.",500,Dr. Nafisa Taha,,Pain Management Specialist
Dr. Babitha's Skin Clinic,Chennai,"MBBS, MD - Dermatology , Venereology & Leprosy",16,very professional and down to earth.Would surely go back for future problems.,300,Dr. Cordelia Babitha,,Dermatologist
Lifeline Rigid Hospitals,Chennai,"MBBS, MS - Obstetrics & Gynaecology",18,"Friendly, explains about why it was caused.,I was suffering from abdominal pain for months. Visited many doctors and was given pain killers and still pain didn't subside. Then visited Dr.Deepa ganesh and she diagnosed saying I had intestional adhesions which needs surgery. Hence underwent laparoscopic adhesiolysis and now I am completely pain free. Thank you Dr.Deepa ,and a very satisfying treatment.  ,Really good experience.The doctor explained all queries with patience and in detail.Really worth the money.,Good.. suggestion will be good.. and clearly explained..  ",650,Dr. Deepa Ganesh,5.0,Gynecologist/obstetrician
32 Dental Care - Nungambakkam,Chennai,BDS,11,"Dr Jibran is one of the most kind, patient and thorough Doctors I have met. His explanations are simple, unbiased and inclined towards patient well being. My mother is 70 and I trust Dr Jibran’s judgement when it comes to her treatment. ,BRIDGE WASHER TIGHTENING WAS DONE BY DR. JIBRAN ON TIME, HOWEVER DR. MANIKANTAN COULD NOT MAKE IT FOR THE APPOINT DUE TO TRAFFIC JAM.  SO WE CAM NEXT DAY MORNING ON 8TH AT 10 AM AND JOB DONE TO SATISFACTION.   Delay understandable fully by an understanding patient like us.  ,I had been for a routine check up for my Teeth Bridged by Dr. Gibran, Sugessted me to use water Flosser for removing Plaque and reomval of food particles",200,Dr. Ahmed Hasan Jibran,5.0,Dentist
Sri Kamakshi Orthopaedic Clinic,Chennai,"MBBS, MS - Orthopaedics",12,"he's really positive person...  he treat patient different way... hes making patient to be mentally strength before go for surgery....  I will really recommend him.... ,Very good doctor,  good treatment, explains the problems  and treatment options.  I would recommend him. ",200,Dr. Senthil Kumar Durai,,Orthopedist
Prudent Dental Care,Chennai,"BDS, MDS - Periodontics",17,"Very neat explanation of the procedure and how to maintain dental hygiene. Overall it was a good experience,I had visited Dr.Subbulakshmi for my tooth ache and root canal review.I was clearly explained the concern and the remedy.I was offered to consider and proceed with the suggested procedure.Thumbs up for the attention to detail and the patience displayed to explain the needed.Highly recommended!!!,I am happy with the treatment, but i was told that documents will be mailed to the respective mail. And only received bill and x ray report. Despite of multiple attempts to reach them to receive the investigation and diagnosis like a prescription on a letter head, i haven't recieved it. I will not suggest for those who want to claim their bills because they won't be reachable and wont get mandatory documents for claiming bills. DISAPPOINTED. ,Very Good and Satisfactory. Good consultation and advice offered with different options. I would like to refer to others too.",300,Dr. Subbulakshmi,5.0,Dentist
Vijays Dental Care Centre,Chennai,"BDS, MDS - Conservative Dentistry & Endodontics",16,"Ya very nice experience. He take cares a lot. Talking kindly with the patients. He is giving appointments according to our convenience. No need to spend more time in hospital. Dr is sama active. I dont have any discomfort during his treatment. I doesnt have any pain. Within a day I got cured good. Before prescribing medicines he gathers all informations abt us which was not done by many doctors. This is the important thing I liked at him. ,I had a amazing experience with Dr Vijay, He is knowledgeable and has the maturity in understanding the patients problems and requirements and provide solutions and that suits their needs. He is frank and open to patients on real problems and potential treatment plan. I liked his whole treatment process. and i strongly recommend Dr Vijay for your dental needs. ,We really appreciate the Doctor's hospitality and his care towards the patient. One of the best Dentist.Our full credits goes to him and we recommend him further.,Really he's doing great job! ",200,Dr. R Vijay,4.5,Dentist
OBG Health Point,Chennai,"MBBS, MD - Obstetrics & Gynaecology",30,"All good but the consultation fee was not Rs. 300 as mentioned in the Practo. We were  charged Rs. 500.,I have met almost every Gynec my friends refer to & whose name I come across in the good books of the people and mode I know. I was told by one such good souls about this doctor. Was very happy as she disregarded the unwanted tests done in the past. She explained and gave confidence which got diluted in the years of the marriage now. Very happy and most of all, the appointments are managed to the best. The doctor prescribed the lowest number of medications and listens to the patient. Very empathizing. I will come back to post my review in sometime on the success of my pregnancy.  :-),good opportunity see the doctor and smiley face clearly telling with excepting and  consoluting fees ia 400",300,Dr. G.Uma Shanthi,5.0,Gynecologist/obstetrician
"Apollo Hospitals, Institute of Bariatrics",Chennai,"MS - General Surgery, FICS, Fellowship in Minimal Access Surgery",20,"I am a bus pass surgery patient of Apollo since April 2004. At the time of surgery projection in left side Punic region was noticed and Urologist Dr. Murali advised treatment for prostrate also later.,It was nice meeting dr.Raj , I was very satisfied with the way he gave all detailed hearing and was very patient luster and explained all the things so nicely. Thank u doctor for building up our confidence . ,I had a very good experience with Dr.Raj. He explained about the procedure very well. Staffs were also very courteous. After the surgery got over, we had no pain or complications. Weight reduction process happened at a fast rate and now I'm able to enjoy life to the fullest. The nutritionist also counselled very well and was a great help in reducing weight. Overall a very good experience.☺,It was life changing. I cannot begin to describe how much undergoing sleeve gastrectomy has positively influenced me both physically and mentally. ",1500,Dr. Raj Palaniappan,5.0,Bariatric Surgeon
Apollo Speciality Cancer Hospital,Chennai,"MBBS, MS - Orthopaedics",39,A very good doctor for ortho.I have visited him for elbow injury and got almost  cured.would recommend him .thank you,1000,Dr. Mayil Vahanan Natarajan,4.5,Orthopedist
VHM Hospital Pvt. Ltd.,Chennai,"MBBS, Diploma in Otorhinolaryngology (DLO), MS - ENT, DNB - ENT, MCh - Plastic Surgery",35,"Five years problem solved in Five doses of medicine in less than three days , Useful advice,He is an extremely experienced doctor. He is very quick. He had one quick glance at my previous medical prescriptions and immediately gave me a diagnosis.  The medicines he prescribed are quite expensive but as I finished the course of medication, they did give me relief. I'm very thankful to Dr Ilambarathi and would recommend him to others also.,Waiting time is too long. Medicines prescribed are usually costly and available only in Gautam medicals owned by him.",300,Dr. M Ilambarathi,4.5,Ear-nose-throat (ent) Specialist
"LR Skin, Hair & Laser Clinic",Chennai,"MBBS, MD - Dermatology , Venereology & Leprosy",12,"I met Dr.Ramachandran with serious hair fall problem. He helped me with a very cost effective yet a result oriented medication which helped me to get rid of the hair loss problem. Now my hair fall is totally controlled and my hair is becoming thicker as well.. Thanks to doctor..,I went to see for my hair loss Dr recommend me a shampoo and oil to apply twice a week. When I used it I don't have hair loss more than before I can feel my hair get thick and long. I recommend to visit the Dr for all ur hair and skin problems he is good. ,Quick appointment process. Doctor was very polite and listened patiently on my skin problems. He prescribed me with a set of medicines.  I could see better results in a short span of time. I highly recommend this doctor for all who have skin and hair issues. ,I met doctor for my Hair loss problem. Doctor was listening to my problem very patiently and explained me the causes and methods of treatments very elaborately. Fees was also very nominal. I would highly recommend the doctor.",300,Dr. Ramachandran R,,Dermatologist
SIMS Hospital,Chennai,"MBBS, DNB - Respiratory Diseases",22,,500,Dr. Suresh,4.5,Pulmonologist
Mint Hospital,Chennai,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD)",15,"I visited this doctor for my wife. She explained the condition and course of the disease in an understandable way. And now my wife is getting better. Thank you doctor,She makes sure she delivers duties on time and to the fullest satisfaction of your medical condition.  ,Dr. Abaranam is great. She is caring and her utmost concern is your comfort. I went for severe allergy , She is concerning with listening all the Compliants ",500,Dr. Abaranam,,Pulmonologist
The Nerve Centre,Chennai,"MBBS, MD - General Medicine, DM - Neurology",39,"He did only relevant tests for my aged mother ,  He thoroughly examines the patient and  clears all our doubts.  I am impressed with the doctor.,He is really good... well experienced and trustable doctor and Iam getting better in 2 days of time.. he is the first doctor explained me what is my problem.. thanks a lot doctor ",800,Dr. Sridharan Ramaratnam,4.0,Neurologist
Hycare Super Speciality Hospital,Chennai,"MS - General Surgery, MBBS, Fellowship in Podiatric Surgery",10,"Very friendly, very careful he is the best. My mother was very ill & get surgery . But now she's excellent .Thank you sir. ,On see his blog,, i reached him, Excellent foot surgeon ,trust worthy and compassionate to the core ..,Doctor asked us to consult dermatology for the foot infection, only for this word we paid 1000 rs fees , I strongly not recommend to any one.",600,Dr. Premkumar,4.5,Podiatrist
Kannan Dental Clinic,Chennai,"MDS - Oral Medicine and Radiology, BDS",15,"Really nice doctor with smiling face and explaining the issue in a detail manner with patience.thank you Doctor,Clinic maintenance super,Feeling far better now and the pain is almost vanished. ,dentist who can be strongly recommended to my friends & relatives. Doctor with utmost patience in explaining the problems and the follow-up treatment. Calling again for the post-treatment examination promptly & voluntarily. ",100,Dr. A. Kannan,5.0,Dentist
Krishna Surgical Clinic Velachery,Chennai,"MBBS, MS - General Surgery",28,"A well experienced & very friendly doctor. Gives a very Practical solution for all queries. Service oriented person. ,A very experienced & very friendly doctor ,attentive to your queries and gives you a very Practical solution he is very upfront.,Such an wonderful doctor. Patiently answering queries. Patient friendly as well as pocket friendly.",300,Dr. Kumarakrishnan,4.5,Laparoscopic Surgeon
AVYUKTH KIDS CLINIC,Chennai,"MBBS, MD - Pediatrics",15,"We had a doubt whether our 5 year old son has a thyroid issue because I , the mother had a gestational hypothyroidism so wanted to check for our children. and the doctor was so so so good in listening to his past medical history, seeing all past reports, examining my child physically and then finally telling us the good news that he doesn't have any thyroid issue. And he was so good and gave so much time in explaining to us about thyroid and our concerns about future and many other things. He is definitely recommended ,. A very good and intelligent doctor. ,We came to hospital first time. He discussed each and everything from the scratch about the baby and gave some suggestions. We felt really happy.  ,Nice advise and friendly nature. Great doctor but no ego, no attitude in  behavior. I had gone for my daughter BHAGYA LAKSHMI, thank u sir ",200,Dr. Hemchand Krishna Prasad,,Pediatrician
Billroth Hospitals,Chennai,"MBBS, MS - General Surgery, MCh - Vascular Surgery",36,,100,Dr. S R Subrammaniyan,4.5,Vascular Surgeon
Sriraam Multispeciality Dental Care,Chennai,BDS,12,"Kind and attends to patients with care. I am very much satisfied with the treatment. Thank you Dr. Akash,He was vry friendly and was explaining patiently regarding the issue.  Very polite in answering the queries.,Fully satisfied with the treatment. All are polite and respectful. Charges are reasonable. Display in the TV is very useful for the patients.,Satisfying treatment with doctors friendliness and he is very much in care of patient's previous dental history. ",200,Dr. V Shakti Akash Raj,4.5,Dentist
Child Care Clinic,Chennai,"MBBS, DNB - Paediatrics",23,"Friendly and reasonable doctor.... Has been visiting this doctor for my kid for more than a year now.... Understands and explain the issues really well....,I had been struggling to identify a good pediatrician for my 10 months son, tried a few but unsatisfied. That's when, got to know about Dr Parvathy through Practo; a fantastic doctor indeed. Clinic was clean and attractive (good & informative posters). Doctor seemed well professional, was patient enough to hear us out completely and advice accordingly. She was proactive in providing various other helpful information with regard to child's growth. Overall in my opinion, a good pediatrician.,Went for wheezing for my kid. She diagonised and treated early. Happy with her treatment. Friendly. Answers to all questions patiently nd properly,Doctor was very kind and polite. She doesnt prescribe any unnecessary medications or tests. She explains about dosage very clearly and cleared all our doubts. Thank you Parvathy doctor.",400,Dr. Parvathy K,4.5,Pediatrician
Dr. Kamakshi Memorial Hospital,Chennai,"MBBS, DM - Neonatology",15,"We got delivered twin baby with low birth weight. Dr.Vaideeswaran and Team given a excellent Pre Term Care in NICU for 18days.The counselling and guidelines given by him is excellent and care given by team doctors and nurse is also good.I really thankful to Dr.Vaideeswaran and Team for taking care of my babies in need.RegardsTony Richard,Annammal,First of all, Really thank you so much for save my babies.I am very much satisfied with ur treatment and way of explaining issues. You are very friendly manner. Because of u only,now my babies are doing good. Once again thank u so much for everything.,NICU care was excellent. ,Awesome doctor which god have sent to save lot of new born babies and childrens. Thanks a lot to Dr.Vaideshwaran for the treat of our baby who is a preterm baby.",500,Dr. Vaideeswaran M,4.5,Pediatrician
Porur Child Health Clinic,Chennai,MDS - Paedodontics And Preventive Dentistry,4,"I had taken my 4.5 old daughter with dental infection which was more than 1 or 2 monghs old. Had visited other dental clinics and spent lot of time waiting for child specialist appointment. Finally, found Porur Child Health Clinic through Practo. Got the appointment on the same day. Doctor greeted my daughter and had a conversation before taking her to the check up. My daughter felt comfortable. Lot of toys were kept to engage the kids and make them feel at home. Kid's favorite cartoon characters get displayed in the tv as well to keep them quite during the procedure. We were completely satisfied with the checkup. Next appointment is given immediately and no delay in continuing the dental procedure. To kill the wait time, the clinic also has a slide and a small play area. Overall, you can take your kid without any hesitation. The receptionist, the medical shop people, and attender all of them are very courteous. ,Dr.priyanka is clear in her treatment and explains in detail.My 3 and half year old daughter was handled vry carefully with much care.we have further appointments with her fr filling.she dosen't rush for doing things.,very very clear in explaining the problem.. very friendly and handles the kids very well. my kid who is difficult to handle corporated so well and the overall experience is very good.,She was very patient in handling kids. Answered all questions politely.  The hospital was very clean. Nurses are also patient.",100,Dr. Priyankka I Prashanth,5.0,Dentist
Prudent Dental Care,Chennai,BDS,17,"I felt positive after visiting Dr. Vijay Kannan for my tooth ache. He gave me step by step process towards medication for dental care through observation and explained me the root cause of the problem. Good experience overall.,He is being friendly and gives a clear and detailed explanation about the reason behind the pain. He also explains the treatment procedure in a clear and understandable way. ,He is good guys, care taking of penitent. He explained each and every points related to tooth ache and tretment which will give satisfaction about curation .,Usually am bit scared to take dental treatment but the doctor made me feel comfortable and explain about the treatment before starting it.",300,Dr. Vijay Kannan,5.0,Dentist
Aditi Dental Care,Chennai,BDS,14,,200,Dr. P. Iswarya,,Dentist
Bernice Physiotherapy Center,Chennai,BPTh/BPT,16,"Diagnosed fast. Explained the objective of each treatment. Provided compete and individual care during the treatment. I was able to see relief within 2 days. She has good practical experience. She is highly sincere and committed,Really good..I recommend  for my friends and relatives... doctor was so friendly and well experienced... good ambience ,She really spotted the exact muscle of the pain supra spinatus and that helped me understand what should I do,She spotted the right muscle supraspinatus and it was really useful and most importantly she didn't force me to start the procedure and she asked me to wait for couple of days. And she didn't even take the consultation. Good impression I got. Thanks",200,Dr. Joicy Priscillal   (Physiotherapist),5.0,Physiotherapist
Apollo Hospital,Chennai,"MBBS, MS - General Surgery, MCh - Cardio Thoracic Surgery",51,,1000,Dr. M.R. Girinath,3.5,Cardiothoracic Surgeon
Life Healthcare Multi Specialty Rehabilitation Centre,Chennai,MSc,6,,300,Mr. Karthik,4.5,Psychologist
Priya Ortho Clinic,Chennai,"MBBS, Diploma in Orthopaedics",25," Doctor is very polite n friendliness. Advice very clearly. I will recommend the doctor to all., Friendly, explaining problems in good way... Thanks so much... Recommended ",150,Dr. Palanivel,,Orthopedist
Jasper Child Care Clinic,Chennai,"MBBS, MD - Community Medicine, DNB - Paediatrics",17,,150,Dr. Saravana kumar,,Pediatrician
